SNR_dB,Psc_opt,Pp_opt,Psp_opt,Psc_nonopt,Pp_nonopt,Psp_nonopt,PSNR_p_opt,PSNR_s_opt,PSNR_avg_opt,PSNR_p_nonopt,PSNR_s_nonopt,PSNR_avg_nonopt,Delta_PSNR_avg
0.0,0.8951637400054847,0.9138850135083308,0.052836259994516466,0.75,1.0,0.25,36.0127757879865,30.45474446873899,33.233760128362746,22.782348428546797,23.306679955640657,23.04451419209373,10.189245936269018
2.0,0.8386115838188924,0.9007707970551583,0.08611790178620005,0.75,1.0,0.25,36.35975516963774,31.03961548431377,33.699685326975754,26.750454703513444,25.157524455664504,25.953989579588974,7.74569574738678
4.0,0.7980819627482996,0.877902162584281,0.0984222745399354,0.75,1.0,0.25,36.57947751337525,31.382928261201368,33.98120288728831,29.93070774226277,27.302094732072867,28.616401237167818,5.364801650120494
6.0,0.7483738382753347,0.8725979850734991,0.11528965807343057,0.75,1.0,0.25,37.081459000277505,31.94470075768251,34.51307987898001,32.335652992297945,28.999290030682463,30.667471511490206,3.8456083674898025
8.0,0.7210980776074672,0.8457336897863656,0.12817202180550605,0.75,1.0,0.25,37.47909229323322,32.58923787980376,35.03416508651849,34.06921098749248,30.66385503189059,32.36653300969154,2.667632076826955
10.0,0.6728690166633503,0.8210320493233344,0.12949064266905105,0.75,1.0,0.25,37.95097239418878,33.14398796013446,35.54748017716162,35.205327509647695,31.47472603341117,33.34002677152943,2.2074534056321866
12.0,0.6495798346806543,0.803213946083569,0.13339983481205658,0.75,1.0,0.25,38.781984285677396,33.98469795730373,36.38334112149056,36.95862961213091,33.35058737918086,35.154608495655886,1.2287326258346738
14.0,0.6260240152823501,0.7831235926287884,0.12544405130471245,0.75,1.0,0.25,39.37304376594189,34.57278472738208,36.972914246661986,37.22255560760326,34.388035076842414,35.805295342222834,1.167618904439152
16.0,0.5975925842321093,0.7834264651819477,0.11992776659804484,0.75,1.0,0.25,40.076859369932954,35.372839886502184,37.72484962821757,37.78194649043362,35.76092877211636,36.77143763127499,0.9534119969425774
18.0,0.5891362440229394,0.7768771982518848,0.11113218335746977,0.75,1.0,0.25,40.82235906392108,36.094405572222705,38.45838231807189,38.42461084708408,37.11781327935192,37.771212063218,0.6871702548538892
20.0,0.5628622935263445,0.7931885746041153,0.10276484974774064,0.75,1.0,0.25,41.343708630111045,36.886873692347955,39.1152911612295,38.50629239017718,38.110727667088256,38.30851002863272,0.8067811325967824
22.0,0.5552951419099726,0.7981868437675185,0.09193225389307466,0.75,1.0,0.25,41.94462537558372,37.54235261210037,39.74348899384205,38.61347414426487,39.1526920553879,38.883083099826386,0.8604058940156634
24.0,0.5602082018538678,0.7793656491783909,0.08177393790616488,0.75,1.0,0.25,42.59441467766188,38.17543075147549,40.38492271456869,38.983246735384384,39.442019570526725,39.212633152955554,1.172289561613134
26.0,0.567632075262676,0.7798636533519575,0.07314567467731344,0.75,1.0,0.25,43.3243742804106,38.931870600675374,41.12812244054299,39.4903076960385,40.00098881631308,39.74564825617579,1.3824741843671973
28.0,0.5173553374808462,0.8049367906766818,0.056700849706528215,0.75,1.0,0.25,43.87045318296508,39.596863340797874,41.73365826188147,38.912506150367996,40.30990830922977,39.61120722979888,2.1224510320825942
30.0,0.5401848168831166,0.8029526827691313,0.04499542569794418,0.75,1.0,0.25,44.780904460522954,40.04029416504808,42.41059931278552,39.19672248108377,40.67609283541269,39.93640765824823,2.474191654537293
