SNR_dB,Avg_PSNR_sys_Proposed,Avg_PSNR_sys_Feng_RSMA_UAV,Avg_PSNR_sys_He_CR_NOMA_MTCC,Avg_PSNR_p_Proposed,Avg_PSNR_p_Feng_RSMA_UAV,Avg_PSNR_p_He_CR_NOMA_MTCC,Avg_PSNR_s_Proposed,Avg_PSNR_s_Feng_RSMA_UAV,Avg_PSNR_s_He_CR_NOMA_MTCC,Avg_Layers_s_Proposed,Avg_Layers_s_Feng_RSMA_UAV,Avg_Layers_s_He_CR_NOMA_MTCC,Feasible_Count_Proposed,Feasible_Count_Feng_RSMA_UAV,Feasible_Count_He_CR_NOMA_MTCC
0.0,33.233760128362746,27.780051622378352,25.262670526009252,36.0127757879865,36.83360328321235,35.04356562921854,30.45474446873899,18.72649996154436,15.481775422799965,1.0,0.06965174129353234,0.0,25,201,192
2.0,33.699685326975754,29.29263477126363,27.217702487465434,36.35975516963774,37.379871812104895,35.14349137217264,31.03961548431377,21.205397730422366,19.29191360275823,1.0833333333333333,0.15608465608465608,0.014005602240896359,84,378,357
4.0,33.98120288728831,31.06176334906514,28.79880620437076,36.57947751337525,38.04767022756679,35.16897894436545,31.382928261201368,24.07585647056349,22.42863346437607,1.1822033898305084,0.28363636363636363,0.06262230919765166,236,550,511
6.0,34.51307987898001,31.63762544426656,30.095339967120424,37.081459000277505,38.65147678154492,35.241738901564304,31.94470075768251,24.623774106988197,24.948941032676547,1.2413793103448276,0.3897058823529412,0.19131832797427653,406,680,622
8.0,35.03416508651849,31.688104190711524,30.974680635916314,37.47909229323322,39.444575147219844,35.303339224460096,32.58923787980376,23.931633234203204,26.646022047372536,1.400709219858156,0.4375804375804376,0.3168724279835391,564,777,729
10.0,35.54748017716162,32.35167508925247,31.527169395804894,37.95097239418878,40.348786493609566,35.40410986140125,33.14398796013446,24.354563684895375,27.650228930208534,1.5145482388973965,0.4585308056872038,0.4156010230179028,653,844,782
12.0,36.38334112149056,32.713145276653485,32.3380912574882,38.781984285677396,41.150266958918266,35.48601143663302,33.98469795730373,24.276023594388704,29.190171078343383,1.7131979695431472,0.47155361050328226,0.6009389671361502,788,914,852
14.0,36.972914246661986,32.755894787159434,32.70974223952656,39.37304376594189,41.84108024499361,35.54842267371654,34.57278472738208,23.670709329325263,29.87106180533658,1.866745283018868,0.4754273504273504,0.7047289504036909,848,936,867
16.0,37.72484962821757,33.069774599123406,33.05629086084916,40.076859369932954,42.61306101424198,35.63936468518032,35.372839886502184,23.526488184004833,30.473217036517998,2.0673400673400675,0.4698544698544699,0.7948430493273543,891,962,892
18.0,38.45838231807189,33.66178601088901,33.38584849262641,40.82235906392108,43.53770781321277,35.644326584198424,36.094405572222705,23.785864208565254,31.1273704010544,2.2829373650107994,0.4881808838643371,0.8718510405257394,926,973,913
20.0,39.1152911612295,33.491236307738916,33.569803059428224,41.343708630111045,43.88100513039548,35.683329481981474,36.886873692347955,23.101467485082345,31.45627663687497,2.473404255319149,0.4883248730964467,0.9151982378854625,940,985,908
22.0,39.74348899384205,34.06714194032243,33.762992599491696,41.94462537558372,44.46366325021224,35.70790726002428,37.54235261210037,23.670620630432623,31.81807793895911,2.617283950617284,0.4959758551307847,0.9488574537540805,972,994,919
24.0,40.38492271456869,34.54247540359642,33.79767260017809,42.59441467766188,45.547632749859496,35.75052321785868,38.17543075147549,23.537318057333348,31.844821982497496,2.72972972972973,0.48144433299899697,0.9518072289156626,962,997,913
26.0,41.12812244054299,34.60054554441825,33.87370959040929,43.3243742804106,46.27524860721402,35.74355706052139,38.931870600675374,22.925842481622492,32.0038621202972,2.8655030800821355,0.46130653266331656,0.9724284199363733,974,995,943
28.0,41.73365826188147,35.56917222068585,33.94327056738252,43.87045318296508,47.21080890523038,35.77347211926487,39.596863340797874,23.927535536141317,32.113069015500166,2.987564766839378,0.5005015045135406,0.9631635969664138,965,997,923
30.0,42.41059931278552,35.94963690365972,34.00181653947237,44.780904460522954,48.364225168446005,35.70764979606574,40.04029416504808,23.535048638873445,32.29598328287901,3.1214285714285714,0.4934934934934935,0.9795037756202805,980,999,927
