SNR_dB,Avg_Pp,Avg_Psc,Avg_Psp,Avg_Rp,Avg_Rsc,Avg_Rsp,Avg_Rs,Avg_Reff_s,Avg_Layers_s,Avg_PSNR_p,Avg_PSNR_s,Avg_QoE_p,Avg_QoE_s,Avg_QoE_sys,PU_Outage,SU_Outage,Feasible_Count,Infeasible_Count
0.0,0.9138850135083308,0.8951637400054847,0.052836259994516466,88813.26497272123,71906.36340728287,12501.981649081059,84408.34505636392,83879.58164908107,1.0,36.0127757879865,30.45474446873899,36.0127757879865,30.45474446873899,33.233760128362746,0.799,0.975,25,975
2.0,0.9007707970551583,0.8386115838188924,0.08611790178620005,96893.41170984031,71911.8505624712,24566.76762884124,96478.61819131243,95944.36762884124,1.0833333333333333,36.35975516963774,31.03961548431377,36.35975516963774,31.03961548431377,33.69968532697576,0.622,0.916,84,916
4.0,0.877902162584281,0.7980819627482996,0.0984222745399354,101876.05745981757,72092.6374831552,32954.30053826471,105046.93802141992,104331.90053826472,1.1822033898305084,36.57947751337525,31.382928261201368,36.57947751337525,31.382928261201368,33.98120288728831,0.45,0.764,236,764
6.0,0.8725979850734991,0.7483738382753347,0.11528965807343057,113518.51981369914,72223.14816961714,46938.49991624265,119161.6480858598,118316.09991624267,1.2413793103448276,37.081459000277505,31.94470075768251,37.081459000277505,31.94470075768251,34.51307987898001,0.32,0.594,406,594
8.0,0.8457336897863656,0.7210980776074672,0.12817202180550605,123432.24137952871,72318.39413831219,64789.7744054788,137108.168543791,136167.3744054788,1.400709219858156,37.47909229323322,32.58923787980376,37.47909229323322,32.58923787980376,35.034165086518485,0.223,0.436,564,436
10.0,0.8210320493233344,0.6728690166633503,0.12949064266905105,136598.83415717652,72592.72656607832,80501.25989199776,153093.98645807608,151878.85989199774,1.5145482388973965,37.95097239418878,33.14398796013446,37.95097239418878,33.14398796013446,35.54748017716162,0.156,0.347,653,347
12.0,0.803213946083569,0.6495798346806543,0.13339983481205658,160293.40247230002,72950.17370550791,107187.2080080057,180137.3817135136,178564.8080080057,1.7131979695431472,38.781984285677396,33.98469795730373,38.781984285677396,33.98469795730373,36.38334112149057,0.086,0.212,788,212
14.0,0.7831235926287884,0.6260240152823501,0.12544405130471245,178427.23956578685,73234.36573288283,128438.93044534793,201673.29617823078,199816.53044534795,1.866745283018868,39.37304376594189,34.57278472738208,39.37304376594189,34.57278472738208,36.972914246661986,0.064,0.152,848,152
16.0,0.7834264651819477,0.5975925842321093,0.11992776659804484,203086.05530245724,73664.98146272384,158019.035198675,231684.01666139884,229396.635198675,2.0673400673400675,40.076859369932954,35.372839886502184,40.076859369932954,35.372839886502184,37.72484962821757,0.038,0.109,891,109
18.0,0.7768771982518848,0.5891362440229394,0.11113218335746977,232252.00979242902,73814.96493235943,189075.79372566572,262890.7586580251,260453.39372566572,2.2829373650107994,40.82235906392108,36.094405572222705,40.82235906392108,36.094405572222705,38.458382318071884,0.027,0.074,926,74
20.0,0.7931885746041153,0.5628622935263445,0.10276484974774064,253887.41799339608,74756.50537944779,225658.14297374737,300414.64835319517,297035.74297374743,2.473404255319149,41.343708630111045,36.886873692347955,41.343708630111045,36.886873692347955,39.11529116122949,0.015,0.06,940,60
22.0,0.7981868437675185,0.5552951419099726,0.09193225389307466,281288.0026202533,75471.21029843877,259717.1337589082,335188.3440573469,331094.73375890823,2.617283950617284,41.94462537558372,37.54235261210037,41.94462537558372,37.54235261210037,39.74348899384204,0.006,0.028,972,28
24.0,0.7793656491783909,0.5602082018538678,0.08177393790616488,313870.779822698,76555.91294274175,293450.58205023984,370006.49499298166,364828.1820502399,2.72972972972973,42.59441467766188,38.17543075147549,42.59441467766188,38.17543075147549,40.38492271456868,0.003,0.038,962,38
26.0,0.7798636533519575,0.567632075262676,0.07314567467731344,353328.74284692574,76587.19998749356,335386.5642581614,411973.764245655,406753.37055830256,2.8655030800821355,43.3243742804106,38.931870600675374,43.3243742804106,38.931870600675374,41.12812244054299,0.005,0.026,974,26
28.0,0.8049367906766818,0.5173553374808462,0.056700849706528215,388752.02747741406,77319.89180176392,374161.1023596261,451480.99416139006,445420.0696148419,2.987564766839378,43.87045318296508,39.596863340797874,43.87045318296508,39.596863340797874,41.73365826188149,0.003,0.035,965,35
30.0,0.8029526827691313,0.5401848168831166,0.04499542569794418,448314.42513169645,77132.89345895936,401035.10946102155,478168.0029199809,472141.88192603027,3.1214285714285714,44.780904460522954,40.04029416504808,44.780904460522954,40.04029416504808,42.41059931278553,0.001,0.02,980,20
